District,July,August,Sep,October,Nov,Dec,January,February,March,April,May,June,Total
AHMEDNAGAR,345264,746743,785112,881403,900217,1246805,1428345,1305878,1281956,1289575,1349816,1368257,12929371
AKOLA,17597,5783,7043,7906,8083,8229,9049,8917,8337,7201,8325,8819,105289
AMRAVATI,18104,89402,53907,96634,105801,106151,118189,119816,111190,99048,101631,105043,1124916
AURANGABAD,184404,109426,97492,740996,720635,764374,951520,895839,854531,791120,806951,804846,7722133
BEED,8545,10360,14334,21018,128721,238013,777133,655833,621947,604295,639341,625323,4344862
BHANDARA,5856,129104,88937,103981,11374,7845,7150,6925,5566,5462,5588,5712,383499
BULDHANA,1376,84202,57407,147181,176481,173763,253124,201230,186036,182244,192118,170091,1825253
CHANDRAPUR,20137,232182,103804,190938,191849,185582,229544,215491,207717,193462,205627,196313,2172646
DHULE,747,5798,7659,7012,5213,5229,8490,7618,7010,6721,7279,7465,76242
GADCHIROLI,3788,2919,7832,13934,1783,1060,1477,887,858,826,1114,1211,37688
GONDIA,11725,208125,62206,113437,109460,128021,136782,113880,110075,97569,103513,99391,1294185
HINGOLI,14167,171932,132927,212737,197935,197498,349723,390545,367291,365064,367823,354088,3121731
JALGAON,37774,288455,222767,278062,300599,269516,302972,276322,266610,263724,276114,258505,3041419
JALNA,22939,4974,36202,37107,89193,115282,180686,169531,165608,152101,172231,170179,1316034
KOLHAPUR,74938,539092,541171,490934,455063,449689,524964,496677,484011,528198,544987,512566,5642290
LATUR,0,0,0,0,0,0,24314,18609,17614,16011,17004,16011,109563
MUMBAI,1856611,1767478,1929918,2640348,2765263,2935867,2894065,2773256,2724511,2615835,2764885,2696262,30364300
NAGPUR,81145,297651,343843,368426,360035,398359,434853,384256,344964,323541,346486,339334,4022891
NANDURBAR,26807,207842,144112,187991,229313,246951,267602,234239,221112,194365,203008,197240,2360582
NASIK,126655,299506,195988,332476,258872,185552,297369,347403,335550,317057,343184,331497,3371108
NANDED,93393,7790,37096,83340,142177,154604,335370,293239,284126,273421,293518,273421,2271498
OSMANABAD,125803,9332,293390,711879,468296,332573,396243,375727,361319,353269,356550,348812,4133193
PARBHANI,11891,1995,42123,64747,84804,84652,85611,94256,94223,84094,85951,85956,820302
PUNE,441951,546570,590678,853767,612637,744801,875370,888413,869434,844321,902066,896665,9066672
RAIGHAD,6819,25931,75675,113002,167236,179970,227338,205502,197406,181412,189469,183413,1753173
RATNAGIRI,14990,45276,52964,60723,64299,88127,91590,80355,74592,72297,73568,70628,789409
SANGLI,3574,36867,37377,54248,40857,58057,57330,52689,49098,46886,48203,50186,535371
SATARA,69472,65552,49437,83799,107065,165408,195265,173960,161618,156246,166982,160953,1555760
SINDHUDURG ,1307,34639,29187,50530,51518,83676,129014,120384,112884,98221,102819,103746,917930
SOLAPUR ,195348,317312,160348,340359,391219,375570,429669,392805,373888,363957,392087,380636,4113197
THANE ,13292,118406,118353,162265,201614,161345,161186,146089,136404,126363,133755,130306,1609380
WARDHA ,13626,3323,6498,7961,17613,19005,21649,21179,19534,17732,18552,18760,185432
WASHIM ,5940,3521,6517,19206,15476,15488,19216,15478,14664,13167,14526,14365,157565
YAVATMAL ,25535,159007,78018,137343,142551,133510,166323,146969,134695,123846,129096,124914,1501806
TOTAL ,3881520,6576499,6410321,9615689,9523251,10260569,12388527,11630198,11206380,10808651,11364167,11110911,114776687
